Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,W1 Gap,W2 Gap,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Redshift
130908.60+553655.8,4.296366790606624,,,,0.1586102984849448,,0.696549119415213,,1.8062668794372694,,,,0.20903753691507235,,0.9478270193856247,,3809.6115972499974,3650.565422309999,3.0513168350219466,,0.8221880694004189,,
223841.13+011524.1,3.8041507326387483,1.6097563602832754,-3.0156404834612927,1.2760920346634796,0.19010563567978134,0.08044469782325105,0.7943556977994863,0.3532296767274628,,,,,,,,,360.9825749100055,,3.4098956080500207,1.0270986345531814,0.8710913585925555,,
155612.26+433228.3,5.585191879816166,,,,0.16283121489323982,,0.8455858578172869,,2.830483387874719,1.1547004054536407,-4.902543295242529,2.0000006907022123,0.29249731808853885,0.11932476736580919,1.5453485847848651,,3653.4841669700036,2109.9371066899985,4.4394061876444715,,1.195467221301076,,
224829.14-013847.2,4.877894418049362,1.2917965673483713,-5.964915203507574,1.5796686693141995,0.18966626308382456,0.05022868610826876,0.44772416803000686,0.12325859048724196,4.710018625457816,1.3224356733954945,-5.442885961727439,1.528203417945566,0.1878511286769513,0.05274311071877368,0.44250525969221854,0.1300426104445738,2739.11856196,1457.238729800003,5.248928552185548,0.7179977921760725,0.4451147138611127,0.08958761167167699,0.08958761167167699
142746.49+345913.3,3.5887359935102987,1.6849336049146888,-2.646369593654915,1.2424867885063053,0.16329085057530646,0.07666605791202716,0.761346630464127,0.43084288961264666,,,,,,,,,1618.0121539550018,,3.1175527935826066,1.046753871808402,0.6019259450781728,0.22502037466694788,0.22502037466694788
172525.46+303110.3,2.5444247474116324,,,,0.15168618017895863,,0.7848129824800052,,1.9620654597160978,,,,0.22690046689938734,,1.0822807539241217,,3815.391342679999,3270.0573790800045,2.253245103563865,,0.9335468682020635,,
143233.41+353917.3,4.135568587035313,,,,0.19386598145637662,,1.22835036752843,,,,,,,,,,4199.700154350001,,4.135568587035313,,1.155315560726276,,
162627.08+420108.2,2.765983620755877,1.2262888384210198,-3.8969719785894097,1.7277084380122743,0.24499745156250735,0.10861873441267697,1.16140049086553,0.603905517682672,0.9991852527054383,1.2516755202663155,-1.3273107898871332,1.6627171177603883,0.09858702207675604,0.12349958310064109,0.3918540256370476,0.5017582303178021,363.6722728099994,161.37375264000002,2.2473629104844646,0.7424655119828021,0.7766272582512888,0.3925758512629211,0.3925758512629211
224245.35+302713.8,11.458995670555243,3.52572602216791,-3.389294496389288,1.0428247070042895,0.21232180795447242,0.06532758584614669,0.5754596822763144,0.1817412814133574,3.1336562888177824,1.1197675056180076,-6.219246094780889,2.222359137225175,0.2972357859033471,0.10621298058408506,0.8986812633351444,0.33696495099329643,4910.780408520004,201.799063150007,6.050298137635801,1.1099264264574233,0.7370704728057293,0.19142575033657555,0.19142575033657555
161856.88+301422.2,2.450406783772193,,,,0.13933203888376242,,0.7441683664419443,,,,,,,,,,3270.9465719100044,,2.450406783772193,,0.8214248148885444,,
