ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
178.5125121,0.5316998,0.187,0.2296,-0.0386,14.603,0.071,15.2,0.9406,14.173,0.167,6.5,0.5324,1,0,0000,AB,5,58267.24249206,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.043576,90.946992
178.5124956,0.5317163,0.2064,0.2433,-0.0743,14.591,0.079,13.8,1.325,14.052,0.192,5.7,0.3833,1,0,0000,AB,10,57184.71554586,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.060776,344.894322
178.5125204,0.53171,0.2667,0.3329,-0.1054,14.749,0.098,11.1,1.043,14.223,0.215,5.0,1.558,1,0,0000,AB,10,57014.67925152,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.081783,63.885112
178.5124915,0.5316784,0.2271,0.306,0.064,14.729,0.091,12.0,2.043,14.292,0.208,5.2,0.7564,1,0,0000,AB,10,58472.15701823,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.083554,201.479716
178.5124945,0.5316707,0.1977,0.2407,0.0538,14.699,0.078,14.0,1.012,14.226,0.212,5.1,1.011,1,0,0000,AB,10,57015.13932462,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.107312,190.631014
178.5124956,0.531732,0.2116,0.2556,0.0875,14.563,0.078,13.9,0.8418,14.312,0.245,4.4,0.7367,1,0,0000,AB,10,57903.68603784,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.116269,352.171256
178.5125188,0.5316732,0.2993,0.3353,-0.0874,14.912,0.103,10.5,1.18,14.211,0.182,6.0,0.1524,1,0,0000,AB,10,58838.63137863,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.117843,144.951786
178.5125149,0.5316636,0.3249,0.3766,-0.1131,15.091,0.111,9.8,1.274,14.737,0.276,3.9,0.8248,1,0,0000,BB,10,60090.52433905,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.141585,157.739584
178.512483,0.5316622,0.2283,0.247,-0.0697,14.586,0.077,14.2,0.5368,14.314,0.209,5.2,0.7637,1,0,0000,AB,10,58107.97487456,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.149219,204.214216
178.5124587,0.5316955,0.2491,0.3027,0.0613,15.012,0.1,10.9,1.019,14.22,0.161,6.8,0.9512,1,0,0000,AB,10,57542.78957208,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.149567,263.781384
178.5124557,0.5316935,0.26,0.2805,-0.1024,14.758,0.084,12.9,0.2633,14.587,0.271,4.0,0.5155,1,0,0000,AB,10,60091.36871674,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.16118,261.652378
178.5124791,0.5317463,0.2553,0.3188,0.0314,14.945,0.097,11.2,1.16,15.11,0.462,2.4,0.6287,1,0,0000,AC,10,56825.50839608,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.182872,335.706324
