ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag
194.4489377320109,27.40421959461908,0.2801886,125747.74+272415.1,6480,56340,54,194.4489474252901,27.40423889523869,0.2795232536005989,39628427904420270,59216.47706765,19.90271377563477
31.45760407694348,-6.861475996724804,0.3404793,020549.82-065141.3,7238,56660,247,31.457588761092826,-6.861461615743602,0.3400779746917745,39627622463833414,59217.22093664,19.999500274658203
32.21809886326601,-6.567633800020612,0.23855273,020852.34-063403.4,7238,56660,88,32.21809722347621,-6.567657647121327,0.2383302947060023,39627628482659947,59217.22093664,18.46606636047364
35.55846683600557,-5.492162532042288,0.14928433,022214.03-052931.7,6369,56217,322,35.55847696715632,-5.492149275614606,0.1490872155273202,39627652578940777,59220.16168229,19.74155044555664
31.521759188679177,-6.550932798592236,0.3971392,020605.22-063303.3,7238,56660,255,31.52175583361973,-6.550899130461753,0.396481108487571,39627628470079181,59217.22093664,20.01766967773437
30.26122164625494,-6.382981380721924,0.7333598000000001,020102.69-062258.7,7238,56660,485,30.26123553498146,-6.3830212428864685,0.7333098619076904,39627628449107420,59217.22093664,0.0
32.42827442479088,-4.47508386265584,0.5351096,020942.78-042830.3,7238,56660,951,32.428247981626505,-4.475084422048612,0.5349254584337828,39627676612299851,59217.22093664,20.668352127075195
30.73676893269917,-4.379778307925529,0.30287862,020256.82-042247.2,7238,56660,544,30.736754302189933,-4.3797717831218455,0.3026994533159029,39627676582941296,59217.22093664,19.77235984802246
31.280328805830784,-4.193248463798138,0.3138091,020507.27-041135.6,7238,56660,662,31.28031135379048,-4.19324369171474,0.3136782013644386,39627682614354223,59217.22093664,20.981687545776367
31.401391520560765,-4.286488988179496,0.6153823,020536.33-041711.3,7238,56660,707,31.40137596018929,-4.286518899501699,0.6155259043179544,39627682618543745,59217.22093664,18.86163711547852
30.36385506274651,-3.459965932127801,0.15894748,020127.32-032735.8,7891,57332,728,30.36389220886228,-3.459922698447824,0.1588530807575425,39627700695992657,59217.19524616,0.0
30.276501088259977,-3.011515144187632,0.46394148,020106.36-030041.4,7891,57332,670,30.276479808393177,-3.011506656771953,0.4638019353307249,39627712758809547,59217.19524616,19.53178977966309
37.99120204908021,0.6622453265721069,0.36606365,023157.88+003944.0,4238,55455,920,37.99117813413779,0.6622559498385343,0.3656106832754401,39627803481613908,59267.12103777,0.0
39.22785092849222,0.3784466643498392,0.43276575,023654.68+002242.4,6781,56274,814,39.22785385632885,0.3784559902484084,0.4324383713067141,39627797462785516,59225.15787283,19.9603271484375
28.99670448754013,-3.406501433125364,0.9269947,015559.20-032423.4,7841,56960,366,28.99670792183249,-3.4064794989949485,0.9272324605784746,39627700670832078,59217.19524616,19.69140625
28.76107740999293,-3.3394245684247488,0.88352126,015502.65-032021.9,4349,55803,372,28.761089294236864,-3.3394101625124004,0.8830160084820649,39627706698048079,59217.19524616,18.92859649658203
27.68169698168101,-3.8326345385701934,0.529455,015043.60-034957.4,7051,56574,672,27.681675092713714,-3.8325642374791618,0.5301567302802981,39627694618448598,59217.19524616,0.0
27.93463485166166,4.046878024358285,0.41476247,015144.31+040248.7,4270,55511,434,27.93466548359541,4.046886215613451,0.4144631811798729,39627881806041771,59217.16862422,19.03805160522461
27.305444908826534,4.378287783990375,0.7293089,014913.30+042241.8,8738,57402,504,27.30546462203069,4.3782975793973735,0.7288997091476764,39627893856278951,59217.16862422,19.238035202026367
28.347421442984,4.989944966762863,0.49206805,015323.38+045923.8,4270,55511,673,28.347427835724524,4.989925762685197,0.4920566894440356,39627905923285421,59217.16862422,20.93038749694824
28.87208485489748,5.715837737639122,0.36416772,015529.30+054257.0,8735,58133,474,28.87210060864161,5.715838133644532,0.3640190746316616,39627923992346690,59217.16862422,0.0
4.034965475634294,9.10092164977539,0.70303696,001608.39+090603.3,4536,55857,856,4.034963326423856,9.100938469437107,0.703460347128374,39628001528255702,59217.07670728,0.0
5.348621387944377,10.174961771059053,0.48778835,002123.66+101029.8,4538,55860,669,5.348616475987313,10.17496513041436,0.4871941227083587,39628031366529305,59217.07670728,0.0
22.94840233129333,21.441553781818943,0.41436547,013147.61+212629.5,7241,56606,277,22.94838100443804,21.44157839000504,0.4139383468956013,39628293158210333,59217.15573633,20.75342559814453
24.772136786194835,22.677326664331485,0.40934798,013905.31+224038.3,7242,56628,862,24.7721460501651,22.6773043242044,0.4093873978062221,39628321226492097,59217.15573633,0.0
23.38369093324707,24.998099440460766,0.5090037000000001,013332.08+245953.1,7685,57062,140,23.38368138286896,24.998090092830022,0.5089016185562091,39628371033854063,59225.08830371,0.0
23.58909223010488,25.236946562948475,0.74019736,013421.38+251413.0,7685,57062,134,23.58906845466061,25.23694114960917,0.7395725115154415,39628376524196168,59225.08830384,20.74241828918457
23.61780463726149,25.871365381999887,0.38547137,013428.27+255216.9,7685,57062,116,23.617791408374448,25.87136387180735,0.3856208955721026,39628387454551305,59225.08830383,19.38321113586425
5.196451322082397,26.701161389231554,0.42665848,002047.14+264204.1,7694,57359,81,5.1964472707828495,26.701168974050784,0.4266455784744962,39628408908417659,59202.17537678,21.019174575805664
5.006588973455223,27.654452457013303,0.48269048,002001.58+273916.0,7694,57359,112,5.006599106216789,27.65445805108356,0.4823932466950473,39628430446169522,59202.17537678,20.94926643371582
